row_id,date,rel_lat,rel_lon,T2M_MAX,T2M_MIN,T2M,RH2M,QV2M,TSOIL1,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,CLOUD_AMT,GWETTOP,GWETROOT,WS10M,WD10M,PS,PRECTOTCORR,TS,EVLAND,WBT
LOC019_D11294,2014-12-02,3.98,1.31,30.2856,12.3424,20.0624,28.1492,3.7144,20.6428,3.96992,4.061568,22.192,0.1332,0.33,3.8708,301.168,99.4296,0.0,20.1036,0.0404,18.1594
LOC019_D11295,2014-12-03,3.98,1.31,29.8384,12.348,19.8872,29.7724,3.958,20.3264,3.924936,3.932852000000001,6.6048,0.1308,0.33,4.1988,301.824,99.4108,0.0,19.8448,0.0344,18.1956
LOC019_D11296,2014-12-04,3.98,1.31,29.8452,12.505999999999998,20.258000000000003,29.0676,3.98,20.426,3.924072,3.932688,9.936,0.1308,0.33,2.9924,313.268,99.5204,0.0,19.9568,0.0344,18.042
LOC019_D11297,2014-12-05,3.98,1.31,28.8276,13.4376,19.86,27.3536,3.6992,19.9756,3.6657,3.717204,16.6188,0.1308,0.33,2.5416,322.228,99.702,0.1116,19.2396,0.08,16.8975
LOC019_D11298,2014-12-06,3.98,1.31,28.7384,10.88,19.1156,25.7684,3.2888,19.0916,3.81498,3.827124,19.3136,0.1308,0.33,2.9644,300.9,99.648,0.0,18.62,0.0332,16.4683
LOC019_D11299,2014-12-07,3.98,1.31,28.2924,13.4672,19.5748,23.437600000000003,3.1344,19.6944,3.778392,3.91682,40.2012,0.1244,0.33,2.888,290.46,99.498,0.0,19.282,0.0332,15.5972
LOC019_D11300,2014-12-08,3.98,1.31,28.2464,12.06,19.8448,20.2512,2.722,19.4904,3.647984,3.797736,28.5096,0.1232,0.33,2.3992,291.072,99.4916,0.0,18.6452,0.0332,14.7723
LOC019_D11301,2014-12-09,3.98,1.31,27.8424,12.6096,19.2524,18.3376,2.4068,18.15,3.495608,3.624108,10.5272,0.1232,0.33,1.7035999999999998,295.904,99.5944,0.0,17.152,0.0332,13.9982
LOC019_D11302,2014-12-10,3.98,1.31,26.296,9.0332,16.610799999999998,19.746,2.1896,17.2388,3.48452,3.5706280000000006,28.1944,0.1232,0.33,2.7012,331.236,99.662,0.0,16.081200000000003,0.0332,13.3183
LOC019_D11303,2014-12-11,3.98,1.31,26.2988,6.993199999999999,16.2288,12.5088,1.2956,16.1408,3.962412,3.974828,12.9848,0.1232,0.33,2.5016,327.596,99.7104,0.0,14.7748,0.0432,11.3752
LOC019_D11304,2014-12-12,3.98,1.31,22.3636,11.186,16.4012,26.8944,3.1,15.4636,3.036356,3.231028,20.206,0.3328,0.34,1.4280000000000002,71.696,99.6892,6.0856,14.8332,0.6188,12.0474
LOC019_D11305,2014-12-13,3.98,1.31,17.3144,10.4032,13.6092,76.7884,7.4628,15.216,1.233432,2.841152,52.4392,0.4424,0.3472,4.146,92.02,99.6296,13.0688,13.8232,0.7476,14.5746
LOC019_D11306,2014-12-14,3.98,1.31,21.2392,11.1252,15.3272,83.094,8.9212,15.9672,1.142312,2.815172,57.13,0.4479999999999999,0.3756,2.8584000000000005,106.344,99.5732,6.9576,15.2764,0.8708,19.1132
LOC019_D11307,2014-12-15,3.98,1.31,21.002,10.098,14.2468,73.75,7.2708,15.468799999999998,2.046216,2.7700560000000003,34.406,0.3707999999999999,0.376,2.1444,341.72,99.8236,0.0072,14.5108,0.51,17.6949
LOC019_D11308,2014-12-16,3.98,1.31,20.8856,7.2632,13.1624,59.0932,5.2692000000000005,14.4364,3.539144,3.612168000000001,10.6376,0.35,0.376,3.0872,311.644,100.0808,0.0,13.126,0.486,15.6858
LOC019_D11309,2014-12-17,3.98,1.31,21.4096,5.22,12.408,42.81,3.5956,13.2372,3.4092360000000004,3.43588,4.864000000000001,0.3496,0.3756,3.1684,304.144,100.0364,0.0,11.6824,0.554,13.8822
LOC019_D11310,2014-12-18,3.98,1.31,21.0844,4.3304,12.686,39.7456,3.3556,12.4296,3.065448,3.308776,25.6396,0.3496,0.3696,1.8688,294.492,100.0672,0.0,11.1784,0.5068,13.1627
LOC019_D11311,2014-12-19,3.98,1.31,20.5556,7.687200000000001,13.431599999999998,36.2792,3.2812,13.1268,2.073036,3.309484,81.27600000000001,0.3484,0.3671999999999999,1.7484,330.10400000000004,100.1376,0.0,12.418399999999998,0.5376000000000001,12.2186
LOC019_D11312,2014-12-20,3.98,1.31,21.79,6.1968,12.826,37.422,3.2052,13.01,2.654292,3.548336,61.8712,0.34,0.3671999999999999,2.3012,306.032,99.8568,0.0,11.864,0.5695999999999999,13.3769
LOC019_D11313,2014-12-21,3.98,1.31,21.0196,4.795999999999999,12.6384,32.6008,2.7316000000000003,11.728,1.9513240000000005,3.087644,40.0444,0.346,0.366,1.4691999999999998,315.79200000000003,99.7264,0.0,10.3096,0.47,12.01
